Philadelphia,Lincoln Financial Field,52181,19148
Nashville,Nissan Stadium,44742,37213
Louisville,L&N Federal Credit Union Stadium,41818,40209
Minneapolis,Huntington Bank Stadium,39415,55455
Chicago,Soldier Field,97686,60605
Detroit,Ford Field,44554,48226
East Rutherford,MetLife Stadium,106056,07073
Foxborough,Gillette Stadium,49740,02035
Landover,FedExField,97909,20785
Charlotte,Bank of America Stadium,53612,28202
Atlanta,Mercedes-Benz Stadium,156317,30313
Tampa,Raymond James Stadium,55408,33607
Miami Gardens,Hard Rock Stadium,47487,33056
St. Louis,The Dome at America's Center,45836,63101
Glendale,State Farm Stadium,54705,85305
Paradise,Allegiant Stadium,86466,89118
Santa Clara,Levi's Stadium,49613,95054
Inglewood,SoFi Stadium,155567,90301
Vancouver,BC Place,38342,98230
Seattle,Lumen Field,56763,98134
Arlington,AT&T Stadium,52953,76011
Houston,NRG Stadium,123308,77054
New Orleans,Caesars Superdome,49265,70112
Kansas City,GEHA Field at Arrowhead Stadium,53150,64129
