Miami,Marlins Park,36656,33125
Tampa,Raymond James Stadium,40818,33607
Atlanta,Georgia Dome,46321,30313
Raleigh,Carter–Finley Stadium,38292,27607
Arlington,AT&T Stadium,42235,76011
San Diego,Qualcomm Stadium,45885,92120
Pasadena,Rose Bowl,55736,91103
Santa Clara,Levi's Stadium,44252,95054
Seattle,CenturyLink Field,46529,98134
Minneapolis,TCF Bank Stadium,37203,55455
Chicago,Soldier Field,89270,60605
Pittsburgh,Heinz Field,36325,15212
Foxborough,Gillette Stadium,48304,02035
Philadelphia,Lincoln Financial Field,47223,19148
New York City,Citi Field,73486,11368
Baltimore,M&T Bank Stadium,47819,21230
Hershey,Hersheypark Stadium,26662,17033
Detroit,Ford Field,41524,48226
St. Louis,The Dome at America's Center,38256,63101
Los Angeles,Dodger Stadium,47440,90090
Santa Clara,Levi's Stadium,44015,95054
Houston,NRG Stadium,42635,77054
New Orleans,Mercedes-Benz Superdome,46474,70112
Atlanta,Georgia Dome,45126,30303
Philadelphia,Lincoln Financial Field,44693,19148
Nashville,Nissan Stadium,43013,37213
East Rutherford,MetLife Stadium,50703,07073
