Cleveland,FirstEnergy Stadium,38931,44114
Landover,FedExField,81964,20785
Philadelphia,Lincoln Financial Field,54870,19148
East Rutherford,MetLife Stadium,99755,07073
Foxborough,Gillette Stadium,47667,02035
Minneapolis,U.S. Bank Stadium,32851,55415
Chicago,Soldier Field,86602,60605
Detroit,Ford Field,43699,48226
Columbus,Ohio Stadium,35083,43210
Orchard Park,New Era Field,38053,14127
Columbia,Williams–Brice Stadium,38057,29201
Nashville,Vanderbilt Stadium,35353,37212
Atlanta,Mercedes-Benz Stadium,105170,30313
Orlando,Camping World Stadium,39423,32805
Miami Gardens,Hard Rock Stadium,44310,33056
Arlington,AT&T Stadium,41626,76011
New Orleans,Mercedes-Benz Superdome,40939,70112
Houston,NRG Stadium,87936,77054
Glendale,State Farm Stadium,37174,85305
Pasadena,Rose Bowl,106550,91103
San Diego,SDCCU Stadium,42953,92108
Santa Clara,Levi's Stadium,47235,95054
Seattle,CenturyLink Field,40718,98134
