Michigan Stadium,48104
Beaver Stadium,16802
Ohio Stadium,43210
Kyle Field,77840
Tiger Stadium,70803
Neyland Stadium,37916
Darrell K Royal–Texas Memorial Stadium,78712
Bryant–Denny Stadium,35401
Sanford Stadium,30602
Rose Bowl,91103
Cotton Bowl,75210
Ben Hill Griffin Stadium,32601
Jordan-Hare Stadium,36830
Memorial Stadium (Lincoln),68508
MetLife Stadium,07073
Memorial Stadium (Clemson),29634
Lambeau Field,54304
Gaylord Family Oklahoma Memorial Stadium,73019
AT&T Stadium,76011
Doak Campbell Stadium,32301
Notre Dame Stadium,46601
Williams–Brice Stadium,29201
Los Angeles Memorial Coliseum,90037
GEHA Field at Arrowhead Stadium,64129
Donald W. Reynolds Razorback Stadium,72701
Empower Field,80204
Camp Randall Stadium,53711
Spartan Stadium,48823
Bank of America Stadium,28202
Caesars Superdome,70112
NRG Stadium,77054
Highmark Stadium,14127
Legion Field,35204
Mercedes-Benz Stadium,30313
M&T Bank Stadium,21230
SoFi Stadium,90301
Husky Stadium,98105
Kinnick Stadium,52240
Raymond James Stadium,33607
Nissan Stadium,37213
Lumen Field,98134
Levi's Stadium,95054
Acrisure Stadium,15212
EverBank Stadium,32202
Lincoln Financial Field,19148
Cleveland Browns Stadium,44114
The Dome at America's Center,63101
US Bank Stadium,55415
Gillette Stadium,02035
Lane Stadium,24601
Paycor Stadium,45202
Ford Field,48226
Allegiant Stadium,89118
Vaught–Hemingway Stadium,38655
Alamodome,78203
